Elevation (m),Rainfall (mm)
41,1.5
41,1
41,2
41,0
41,2.5
41,1
41,0
41,0
41,47
41,21.5
41,0
41,9.5
41,7
41,3
41,5.5
41,19
41,8
41,1
41,0
41,0
41,2.5
41,32
41,1.5
41,19.5
41,23
41,0
41,5
41,3.5
41,11
41,75.5
7,0
7,0.01
7,6.5
7,0
7,0.01
7,0
7,0
7,0
7,81.3
7,41
7,0
7,36.5
7,0
7,0.01
7,0.01
7,1.8
7,16.5
7,3
7,0
7,0
7,1.5
7,4.5
7,46.5
7,1
7,4.3
7,0
7,0.01
7,21
7,59
7,43
13,8.4
13,18.8
13,1
13,0.1
13,0.01
13,0
13,0
13,0.3
13,53.6
13,69.5
13,0
13,36.6
13,1.3
13,57.5
13,1.4
13,1.2
13,3.6
13,0
13,0
13,0
13,3.4
13,2.1
13,4.3
13,16.6
13,1.8
13,14.6
13,0
13,29.5
13,53.3
13,27.9
32,3.5
32,7.5
32,31
32,0
32,0
32,0
32,0
32,2
32,9.5
32,143
32,0
32,75
32,0
32,15
32,3
32,0
32,2
32,1
32,0
32,0
32,0
32,4
32,0.01
32,2
32,4.5
32,0
32,9
32,4
32,12
32,26
0,0.01
0,0.01
0,0
0,0
0,0
0,0
0,9
0,0.01
0,0
0,0
0,0.01
0,5
0,0.01
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,12
0,0.01
0,0.01
0,12
0,51
0,32
0,29
0,140
0,0
0,0
0,0
0,0
0,0
0,25
0,0
0,15
0,0
0,5
0,15
0,25
0,0
0,0
0,12
0,0
0,0
0,5
0,0
0,0
0,0
0,0
0,14
0,12
0,0
0,0
0,0
0,0
0,12
0,52
0,23
0,1
0,1.5
0,0
0,0
0,0
0,0
0,0
0,0
0,28.5
0,0
0,0
0,0
0,23
0,1.5
0,2.5
0,1.5
0,1
0,0
0,0
0,0
0,0
0,12.5
0,1
0,4
0,0
0,0
0,14
0,30
0,21.5
22,0
22,13
22,20
22,0
22,0
22,0
22,0
22,3
22,31
22,147
22,0.01
22,4.5
22,0.1
22,3.5
22,0.01
22,0.01
22,1.5
22,0.01
22,0
22,0
22,0.01
22,0.01
22,0
22,3
22,17
22,0
22,11.2
22,0
22,5
22,30
41,1.5
41,3.5
41,7.5
41,4
41,5.5
41,3
41,0
41,41.5
41,37
41,0
41,6
41,13
41,4.5
41,27
41,19
41,21.5
41,1.5
41,0
41,0
41,2
41,0
41,3.5
41,4
41,1.5
41,7.5
41,9
41,21.5
41,3
41,1.5
41,2.5
41,0
10,0.01
10,21
10,15
10,33
10,30
10,54
10,27
10,26
10,58
10,0
10,19
10,20
10,44
10,37
10,16
10,5
10,2
10,4
10,0
10,0
10,19
10,18
10,20
10,14
10,38
10,26
10,28
10,27
10,35
10,29
10,16
7,7.3
7,1.4
7,4.5
7,7.2
7,0
7,2
7,0
7,23.4
7,7
7,0.01
7,0.01
7,5.3
7,3
7,0
7,5.5
7,3.7
7,1
7,0.01
7,0
7,0
7,0
7,6.2
7,0
7,7
7,0.01
7,22
7,7.8
7,22.5
7,1
7,0
7,0
13,5.6
13,6.6
13,7
13,0.5
13,0.1
13,1.5
13,7
13,4.9
13,3.8
13,0
13,0.6
13,3.5
13,17
13,2.8
13,41.9
13,10.3
13,0
13,0.4
13,0
13,0.1
13,0.2
13,0.1
13,9.3
13,11.7
13,5.7
13,8.6
13,4.8
13,17
13,0.3
13,0
13,7.8
32,0
32,3.5
32,23
32,3
32,1.5
32,0
32,0
32,0
32,0
32,0.01
32,8
32,0
32,3
32,0
32,0.01
32,1.5
32,1
32,0
32,0
32,0
32,0
32,0
32,0
32,2.5
32,32.5
32,6.5
32,0.01
32,10.5
32,3.5
32,0
32,1.5
50,8.5
50,9
50,10
50,8
50,0.01
50,21.5
50,0
50,0
50,51
50,0
50,4
50,15
50,4.5
50,0
50,11
50,10.5
50,0.01
50,13
50,2
50,0.01
50,0
50,4.5
50,41.5
50,30.5
50,24.5
50,26.5
50,26
50,10
50,1.5
50,0.01
50,0
0,76
0,28
0,40
0,0
0,0.01
0,20
0,0.01
0,15
0,5
0,0.01
0,5
0,18
0,8
0,0
0,0
0,0
0,0
0,5
0,0
0,0.01
0,0
0,25
0,50
0,31
0,0.01
0,0.01
0,12
0,0
0,0.01
0,0
0,0
0,0
0,0
0,0
0,12
0,0
0,5
0,0
0,25
0,0
0,0
0,0
0,0
0,5
0,0
0,25
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,12
0,0
0,0
0,20
0,5
0,0
0,0
0,2
0,2
0,3
0,19
0,10
0,2
0,0
0,7
0,2
0,0
0,2
0,1.5
0,2
0,0
0,0
0,0
0,0
0,1
0,1.5
0,0
0,0
0,1
0,0
0,1.5
0,0
0,29
0,6
0,7
0,0
0,0
0,0
22,13.5
22,1.5
22,24.5
22,16.5
22,0.5
22,0.01
22,0.4
22,0
22,0.3
22,0
22,19
22,0
22,6.5
22,0
22,0
22,0
22,0
22,2.5
22,0
22,0.4
22,0
22,0
22,7
22,2
22,12
22,6
22,1
22,7
22,0.01
22,0
22,0.01
44,4
44,1.5
44,42
44,2
44,1
44,5.5
44,1
44,0
44,3
44,0
44,6
44,12
44,13.5
44,0
44,0
44,11.5
44,0
44,0
44,12
44,1
44,0
44,16.5
44,18
44,12
44,2
44,4.5
44,58.5
44,11.5
44,20
44,0
44,0
51,16.9
51,16.4
51,46.3
51,1.8
51,2
51,5.4
51,1
51,1
51,18.6
51,0.01
51,16.7
51,2.5
51,8.5
51,0
51,4.3
51,19.6
51,9.3
51,13.6
51,1
51,0
51,0
51,3.9
51,16.4
51,34.2
51,23.2
51,15.6
51,46
51,16.3
51,11.9
51,0
51,0
57,19
57,0
57,61
57,3
57,2.5
57,2.5
57,4
57,0
57,38.5
57,0
57,5
57,4
57,1
57,0
57,0
57,36
57,7.5
57,12.5
57,0
57,0
57,0
57,14
57,34
57,0
57,35
57,16
57,61
57,4
57,2
57,7.5
57,0
10,14
10,4
10,31
10,16.5
10,25
10,5
10,1.5
10,0
10,5.5
10,3
10,7.5
10,2
10,11.5
10,16
10,5
10,38.5
10,4
10,12.5
10,0
10,16.5
10,0
10,25
10,6
10,6.5
10,17.5
10,3.5
10,16.5
10,6
10,33
10,0
10,0
93,9.1
93,2.9
93,59.9
93,2
93,0.01
93,13.5
93,0.01
93,0.01
93,38.1
93,0.01
